Contrast,Mean difference,95% bootstrap CI,Cohen's d_z,Wilcoxon p,Holm-corrected p,Reading
A7 – A0,+0.045,"[0.031, 0.058]",0.61,0.0001,0.0009,Significant
A7 – A1,+0.021,"[0.011, 0.031]",0.42,0.0002,0.0016,Significant
A7 – A2,+0.005,"[0.000, 0.010]",0.16,0.041,0.287,Not significant
A7 – A3,+0.013,"[0.006, 0.020]",0.31,0.0004,0.0028,Significant
A7 – A4,+0.008,"[0.003, 0.014]",0.22,0.0031,0.0186,Significant
A7 – A5,+0.005,"[0.000, 0.010]",0.16,0.045,0.287,Not significant
A7 – A6,+0.017,"[0.009, 0.025]",0.35,0.0003,0.0021,Significant
