Configuration,BERTScore-F1,ROUGE-L F1,Input Relevance,Grounding Support,Defects/Response,Latency (s)
A2 - RAG + User Profile + Classifier Strategy,0.629,0.104,0.603,0.615,0.74,2.21
A3 - Without Emotion Detection,0.621,0.099,0.592,0.598,0.86,2.12
A4 - Without Personality Detection,0.626,0.102,0.601,0.608,0.76,2.19
A5 - Without Memory (single-turn control),0.629,0.104,0.603,0.614,0.74,2.20
A6 - Without Strategy Guidance,0.617,0.097,0.593,0.604,0.89,1.87
A7 - Full PsyAdapt,0.634,0.106,0.609,0.622,0.69,2.30
