"Arm (generator, context)",BERTScore-F1 [95% CI],ROUGE-L F1 ↑,Input relevance ↑,Grounding support ↑,Defects/response ↓,Latency (s)
"PsyAdapt A7 – Qwen2.5-3B-Instruct, full context","0.634 [0.628, 0.640]",0.106,0.609,0.622,0.69,2.30
"Gemma 3 4B, full PsyAdapt context","0.627 [0.621, 0.633]",0.102,0.598,0.611,0.81,2.18
"Llama 3.2 3B Instruct, full PsyAdapt context","0.623 [0.617, 0.629]",0.101,0.596,0.607,0.85,2.06
"Mistral 7B Instruct, full PsyAdapt context","0.630 [0.624, 0.636]",0.104,0.604,0.615,0.77,2.40
"A0 – Qwen2.5-3B-Instruct, bare",0.589 (CI not reported),0.081,0.553,– (no retrieval),1.41,0.81
"Gemma 3 4B, bare","0.582 [0.576, 0.588]",0.078,0.549,– (no retrieval),1.62,0.89
"Llama 3.2 3B Instruct, bare","0.580 [0.574, 0.586]",0.076,0.545,– (no retrieval),1.70,0.83
"Mistral 7B Instruct, bare","0.586 [0.580, 0.592]",0.080,0.552,– (no retrieval),1.55,0.92
