arm,model,mode,bertscore,rougeL,relevance,grounding,defects,latency,bs_lo,bs_hi
S7_Qwen2.5-3B (A7),Qwen2.5-3B-Instruct,full,0.634,0.106,0.609,0.622,0.69,2.3,0.628,0.64
S7_Gemma 3 4B,google/gemma-3-4b-it,full,0.627,0.102,0.598,0.611,0.81,2.18,0.621,0.633
S7_Llama 3.2 3B,meta-llama/Llama-3.2-3B-Instruct,full,0.623,0.101,0.596,0.607,0.85,2.06,0.617,0.629
S7_Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,full,0.63,0.104,0.604,0.615,0.77,2.4,0.624,0.636
S0_Gemma 3 4B (bare),google/gemma-3-4b-it,bare,0.582,0.078,0.549,,1.62,0.89,0.576,0.588
S0_Llama 3.2 3B (bare),meta-llama/Llama-3.2-3B-Instruct,bare,0.58,0.076,0.545,,1.7,0.83,0.574,0.586
S0_Mistral 7B (bare),mistralai/Mistral-7B-Instruct-v0.3,bare,0.586,0.08,0.552,,1.55,0.92,0.58,0.592
